company,role,target_tier,url,fit_reason,next_action,status,notes
Anthropic,Software Engineer / AI Evaluation / Applied AI,Top lab,https://www.anthropic.com/careers,"Top-lab fit for open-source, evals, thoughtful writing, and practical AI engineering","Tailor resume to proof-of-work first; apply to best-fit engineering/evals roles; seek warm intro",Target,"Anthropic explicitly values independent research, thoughtful blog posts, and open-source contributions near the top of the resume"
OpenAI,Applied AI / Evals / Software Engineering,Top lab,https://openai.com/careers,"Strong aspirational fit for applied AI, agents, evals, developer/product systems","Find specific role; tailor with AI Advantage Sports, eval dashboards, OpenClaw, and M.S. AI story",Target,"Likely requires official ATS and may ask work authorization"
xAI,AI Engineer / Software Engineer,Top lab,https://x.ai/careers,"Fast-moving AI lab; pitch builder energy and shipped public systems","Find best current role; use concise builder-focused outreach",Target,"Likely onsite-heavy; verify role location before applying"
Cohere,Applied AI Engineer - Agentic Workflows,Sweet spot,https://jobs.ashbyhq.com/cohere/1fa01a03-9253-4f62-8f10-0fe368b38cb9,"Direct match for agentic workflows, enterprise AI, Python/product engineering","Attempt official application; find recruiter/founder contact if Ashby upload blocks",Target,"Ashby form likely requires resume upload"
LangChain,Fullstack Software Engineer - Applied AI,Sweet spot,https://jobs.ashbyhq.com/langchain/c75915ba-a32b-4e17-873d-19b47564170d,"Excellent match for agents, evals, monitoring, developer tooling, Python/TypeScript","Attempt official application; reach out with OpenClaw + eval dashboard angle",Target,"Ashby form likely requires resume upload"
Instrumentl,Sr. Software Engineer - GenAI,Sweet spot,https://jobs.lever.co/Instrumentl/85b9edb5-b23d-4a44-8d0a-3f861130b397,"Strong fit for RAG, agentic workflows, embeddings, evaluation/observability","Attempt Lever application or founder/recruiter outreach",Target,"Lever may support direct form but likely has file upload"
Panopto,AI Engineer,Sweet spot,https://jobs.lever.co/panopto/4c4fe959-597b-493f-bc08-a3a268153a32,"Remote-first AI engineer role; productized AI and video/learning domain","Attempt Lever application; tailor with ML eval + dashboards",Target,"Verify remote US eligibility and work authorization questions"
Mostest,Applied AI Engineer - North American Timezones,YC/a16z-style startup,https://jobs.ashbyhq.com/mostest/68e436d6-b632-434e-93ab-9314a642dce5,"Applied AI remote NA with $125k-$200k range; good level fit","Attempt official application; send founder outreach if public contact found",Target,"Ashby form likely requires resume upload"
Ascertain,Applied AI Engineer,YC/a16z-style startup,https://jobs.ashbyhq.com/ascertain/e2b09339-b7cb-42d1-a666-68908329ceb8,"AI agents, voice, healthcare-adjacent workflow automation","Attempt official application; tailor to healthcare AI and end-to-end product",Target,"Ashby form likely requires resume upload"
Hello Patient,Prompting & AI Agent Research Engineer,YC/a16z-style startup,https://jobs.ashbyhq.com/hellopatient/137742bf-6fa6-4ef7-9cc6-4dc48c70b450,"Healthcare voice agent, prompting, AI agent rigor, evals","Attempt official application; emphasize evaluation discipline and healthcare workflow automation",Target,"Ashby form likely requires resume upload"
Jeeves,Senior AI Engineer,Sweet spot,https://jobs.lever.co/tryjeeves/2f00206f-6091-4eed-8b5f-1325afdbfe30,"Fintech AI, structured validation, fallback handling, prompt/eval practices","Attempt Lever application; tailor to fintech, risk, and eval reliability",Target,"Check seniority and sponsorship questions"
Collate,AI Engineer,YC/a16z-style startup,https://jobs.lever.co/collate/377f2cf3-6285-42c1-8130-dd3dd2c866cb,"AI engineer building reliable user-facing ML/product systems","Attempt Lever application; tailor to productionized AI and product engineering",Target,"Verify location and eligibility"
Palantir,Forward Deployed AI Engineer,Sweet spot,https://jobs.lever.co/palantir/ff1029bd-bb6d-4d78-a03e-5f9744d0b798,"Forward-deployed AI, customer workflows, production systems","Apply if location/eligibility works; tailor with Alloway LLC client work",Target,"Likely intense process; may require location or clearance depending role"
AI Fund Portfolio,Portfolio AI startup roles,VC/portfolio,https://careers.aifund.ai/,"Andrew Ng AI Fund portfolio; broad AI startup surface","Search portfolio roles weekly; send VC/talent warm-intro email",Target,"Use VC template from packet"
Runway,Member of Technical Staff / Product Analytics / Research Engineering,Sweet spot,https://runwayml.com/careers,"Current official careers page lists remote backend, product analytics, and research-engineering roles at a leading multimodal AI company","Track direct Ashby links for backend API, product analytics, and datasets research roles; attempt official application when blocker facts are known",Target,"Runway careers page exposed multiple remote engineering/research openings on 2026-06-11"
Anthropic,"Product Engineer, Computer Use",Top lab,https://job-boards.greenhouse.io/anthropic/jobs/5238637008,"Excellent Anthropic fit for browser control, agent harnesses, full-stack product work, evals, SQL/notebooks, and user-facing workflow automation","Use prepared Anthropic Why Anthropic framing; apply once office/travel, sponsorship, start-date, relocation, and prior-interview facts are confirmed",Target,"Official Greenhouse role verified on 2026-06-11; strongest current Anthropic product-engineering role for Ian's practical AI + tool-automation story"
Anthropic,"Research Engineer, Knowledge Team",Top lab,https://job-boards.greenhouse.io/anthropic/jobs/4017331008,"Exceptional Anthropic fit for agentic knowledge systems, evals, Python, search/data architecture, and practical AI engineering","Apply once office/travel, Why Anthropic, future sponsorship, relocation, and prior-interview facts are confirmed; cover-letter text/file can satisfy the required Additional Information field",Target,"Official Greenhouse form inspected on 2026-06-12; remote-friendly travel-required role with $350K-$850K range"
Anthropic,"Software Engineer, Research Data Platform",Top lab,https://job-boards.greenhouse.io/anthropic/jobs/5191226008,"Strong fit for Python/SQL pipelines, internal tools, experiment visibility, researcher-facing APIs, metadata, and dashboard-heavy data workflows","Apply once office/travel, sponsorship, start-date, relocation, and prior-interview facts are confirmed",Target,"Official Greenhouse role verified on 2026-06-11; cleanest Anthropic software/data role for Ian's shipped data-product and evaluation background"
Anthropic,"Software Engineer, Human Data Interface",Top lab,https://job-boards.greenhouse.io/anthropic/jobs/5109273008,"Strong full-stack fit for human-in-the-loop data systems, internal tools, data pipelines, and workflow UX","Apply once office/travel, sponsorship, start-date, relocation, and prior-interview facts are confirmed",Target,"Official Greenhouse role verified on 2026-06-11; strong match for internal-tooling plus user-workflow engineering"
Anthropic,"Software Engineer, Claude Design",Top lab,https://job-boards.greenhouse.io/anthropic/jobs/5229345008,"High-signal Anthropic Labs frontend/product role combining AI generation, real-time editing, design-system inference, and UI craft","Apply once 25%-office, earliest-start, Why Anthropic, sponsorship, relocation/address, and prior-interview facts are confirmed; tailor around React/TypeScript, design engineering, product polish, and human-agent collaboration UX",Target,"Official Greenhouse form inspected on 2026-06-14; Claude Design launched in research preview in April 2026 and the application requires 25%-office, timeline, Why Anthropic, sponsorship, relocation/address, and prior-interview answers"
OpenAI,"AI Deployment Engineer - Codex",Top lab,https://openai.com/careers/ai-deployment-engineer-codex-remote-us/,"Strong fit for Codex workflows, demos, cookbook-style technical content, and customer-facing AI implementation","Apply once earliest start date, current work authorization, future sponsorship, and arbitration-acknowledgement posture are confirmed; assess honestly against the 5+ years customer-facing deployment/sales-engineering bar",Target,"Official Ashby form inspected on 2026-06-12; remote-US role with $197K-$278K range"
OpenAI,"Applied AI Engineer, Codex Core Agent",Top lab,https://openai.com/careers/applied-ai-engineer-codex-core-agent-san-francisco/,"Very strong fit for agent behavior, evals, prompt/tool strategy, failure analysis, and production feedback loops","Apply once earliest start date, current work authorization, future sponsorship, and 3-days-per-week San Francisco office posture are confirmed",Target,"Official Ashby form inspected on 2026-06-12; role spans San Francisco, New York City, Seattle, and London, UK with $230K-$385K range"
OpenAI,"Software Engineer, Codex App",Top lab,https://openai.com/careers/software-engineer-codex-app-san-francisco/,"Strong fit for TypeScript, Node, Electron, CLI integration, developer workflows, observability, and reliability-minded product engineering","Apply once earliest start date, current work authorization, future sponsorship, and 3-days-per-week US office posture are confirmed; tailor around shipped developer tools, AI workflow systems, and desktop/app orchestration",Target,"Official Ashby form inspected on 2026-06-12; role is in San Francisco, Seattle, and London, UK"
OpenAI,"Software Engineer, Codex Cloud Apps",Top lab,https://openai.com/careers/software-engineer-codex-cloud-apps-san-francisco/,"Best current OpenAI fit for full-stack AI product work across agents, APIs, governance, analytics, and customer-facing workflows","Apply once earliest start date, current work authorization, future sponsorship, and San Francisco office posture are confirmed; tailor around AI Advantage Sports, full-stack shipping, and agentic product systems",Target,"Official Ashby form inspected on 2026-06-12; role is onsite San Francisco or Seattle and the application notes a 5-application limit within any 180-day span"
OpenAI,"Frontend Software Engineer, Codex App",Top lab,https://openai.com/careers/frontend-software-engineer-codex-app-san-francisco/,"Strong fit for React/TypeScript, design engineering, Electron-quality UX, and human-agent interaction design","Apply once earliest start date, current work authorization, future sponsorship, and 3-days-per-week US office posture are confirmed; tailor around product polish, frontend craft, and AI workflow UX",Target,"Official Ashby form inspected on 2026-06-12; role is in San Francisco, Seattle, and London, UK"
xAI,Data Engineer,Top lab,https://job-boards.greenhouse.io/xai/jobs/5120884007,"Strong fit for data quality, anomaly analysis, training-data pipelines, model-behavior debugging, and evaluation frameworks","Use the prepared xAI exceptional-work answer; apply once future sponsorship and Palo Alto onsite willingness are confirmed",Target,"Official Greenhouse role verified on 2026-06-11; Palo Alto role on xAI's Data team"
xAI,"Software Engineer - Data",Top lab,https://job-boards.greenhouse.io/xai/jobs/5124616007,"Good fit for Python/React/Postgres data platforms, monitoring, and reliable training-data software systems","Use the prepared xAI exceptional-work answer; apply once future sponsorship and Palo Alto onsite willingness are confirmed",Target,"Official Greenhouse role verified on 2026-06-11; Palo Alto role on xAI's Data team"
Weights & Biases / CoreWeave,ML tooling and LLMOps roles,Sweet spot,https://coreweave.com/careers/weights-biases,"Official W&B careers page now routes to CoreWeave-hosted W&B openings; strong ML tooling, evals, and developer-product fit","Check the W&B/CoreWeave portal for US roles close to developer tooling, evals, and AI product systems",Target,"W&B careers page says View all roles on CoreWeave careers"
Sports AI / Analytics,AI/ML/Data roles at sportsbooks and sports data companies,Sports bonus,https://aiadvantagesports.com,"Unique edge from AI Advantage Sports, nba-ratings, CLV dashboard, Kelly library","Target DraftKings, FanDuel, Underdog, Sportradar, Genius Sports, Hudl, Stats Perform",Target,"Use sports analytics cover-letter variant"
Sweed,AI Product Engineer,YC/a16z-style startup,https://jobs.ashbyhq.com/sweedpos.com/b2335d86-ace5-4773-acf4-3d5c89c2a008,"Remote AI product-engineering role with direct fit across Python, SQL, TypeScript/React, workflow automation, and product-minded shipping","Retry the official Ashby form from a manual/non-automated browser session; the automation-filled submit was blocked by RECAPTCHA_SCORE_BELOW_THRESHOLD rather than missing facts",Target,"Official Ashby form inspected and fully filled on 2026-06-11; no legal blocker surfaced, but the final submit was flagged as possible spam"
Camber,AI Product Engineer,YC/a16z-style startup,https://jobs.ashbyhq.com/camber/d85afd85-0014-4607-b4ce-587941026093,"High-upside healthcare AI product role with $190K-$230K base plus equity and strong overlap with practical AI workflows, dashboards, and end-to-end product building","Decide whether the NYC hybrid 3-5x/week requirement is in-bounds; if yes, submit through the official Ashby form with tailored why-Camber and healthcare-AI answers",Target,"Official Ashby form inspected on 2026-06-11; the only hard blocker was the required comfort-with-NYC-hybrid confirmation"
Crux,AI Product Engineer,YC/a16z-style startup,https://jobs.ashbyhq.com/cruxclimate/de7fb381-026b-420a-8366-f04dffd64f61,"Remote-first AI product-engineering role with climate/data workflow relevance and $150K-$250K base","Prepare a public demo link or short recording of an LLM-powered product, then submit via the official Ashby form with concise production-AI examples",Target,"Official Ashby form inspected on 2026-06-11; no sponsorship gate surfaced, but the required demo-link field blocked truthful submission"
WorkOS,Applied AI Engineer,Sweet spot,https://jobs.ashbyhq.com/workos/5e650527-d8dd-413a-9cfb-d7d68143274b,"Strong developer-infrastructure and AI-platform fit with $175K-$275K base plus equity","Apply once current U.S. work-authorization and future sponsorship facts are confirmed",Target,"Official Ashby form inspected on 2026-06-11; required legal-eligibility questions blocked submission"
Pareto,Applied AI Engineer,Sweet spot,https://jobs.ashbyhq.com/pareto-ai/4f5fe995-7828-437e-b80c-0132efba1b20,"High-comp remote applied-AI role with $225K-$275K base plus equity and direct match for productized AI systems","Apply once current work-authorization and earliest-start-date facts are confirmed; use the packet's compensation anchor if the form forces a number",Target,"Official Ashby form inspected on 2026-06-11; legal/timeline facts were the only blockers"
Trace Labs,"Software Engineer, Full Stack",Sweet spot,https://jobs.ashbyhq.com/tracelabs/963005ce-f4f1-4d54-957d-139b7849cb4a,"Strong fit for physical-AI data infrastructure, Python plus TypeScript/React shipping, PostgreSQL, data pipelines, observability, and customer-facing product ownership","Apply once current U.S. work authorization and future sponsorship facts are confirmed; tailor the 2-4 sentence Why Trace answer around data pipelines, reliability, Omniichain anomaly tooling, and shipped AI product workflows",Target,"Official Ashby form inspected on 2026-06-12; remote U.S. role with $150K-$250K base plus equity and a short required Why Trace answer"
OpenAI,"Software Engineer, Observability",Top lab,https://jobs.ashbyhq.com/openai/d4dcd344-40cf-44d6-a7dd-172118eb0842/application,"Top-lab reliability/telemetry fit across observability, anomaly detection, engineering tooling, SQL-backed metrics, and careful production debugging","Apply once current location, earliest start date, current work authorization, future sponsorship, and 3-days-per-week office posture are confirmed; tailor Additional Information around evaluation dashboards, anomaly detection, and practical reliability-minded AI engineering",Target,"Official Ashby form inspected on 2026-06-13; strongest newly found OpenAI infra/reliability role, with arbitration acknowledgement and a 5-applications-per-180-days note"
Together AI,"Backend Software Engineer - Data Platform & AI Data Products",Sweet spot,https://job-boards.greenhouse.io/togetherai/jobs/5064263007,"Strong fit for Python/SQL backend systems, data products, event/data-platform thinking, prompt taxonomy workflows, and evaluation/drift monitoring","Apply once San Francisco 4-days-per-week willingness plus current work authorization and future sponsorship facts are confirmed; optional cover-letter field can use the dedicated cover-letter assets if submission is unlocked",Target,"Official Greenhouse form inspected on 2026-06-13; 0-4 years scope, $120K-$170K base plus equity, and direct overlap with data pipelines plus LLM-adjacent metadata/evaluation systems"
Teamworks,"Senior Applied AI Engineer",Sports bonus,https://jobs.ashbyhq.com/teamworks/2564b994-e9ce-4aa1-8400-9f143c79b635/application,"Direct sports-tech AI fit leveraging AI Advantage Sports, TypeScript/Node backend work, GenAI product workflows, and decision-support systems","Apply once U.S.-citizenship and intended-work-location facts are confirmed; answer source truthfully as company careers page and tailor the shipped-GenAI example around AI Advantage Sports or another production workflow",Target,"Official Ashby form inspected on 2026-06-13; remote U.S. sports-tech role, but the form says it is open to U.S. citizens only because of federal contract/security requirements"
Mirage (Captions),"Software Engineer, Early Career",Sweet spot,https://jobs.ashbyhq.com/mirage/cbf278fd-84ec-48d9-8052-b76abb035ac7/application,"Strong multimodal AI/product-engineering fit across agentic systems, web product, full-stack shipping, and public proof-of-work","Apply once future sponsorship and NYC office-willingness facts are confirmed; tailor the project answer around AI Advantage Sports/OpenClaw and state the preferred focus area truthfully, likely Applied AI or Web-Product",Target,"Official Ashby form inspected on 2026-06-13; Captions/Mirage listed this Union Square NYC role at $160K-$165K base plus equity and asks for a strong project walkthrough"
ElevenLabs,Engineering - Internal AI Transformation,Sweet spot,https://jobs.ashbyhq.com/elevenlabs/a3097257-a07a-4a7e-b9fe-b8555c1a0fa7,"Direct match for internal agentic workflows, Python/SQL backend systems, evaluation/monitoring, and forward-deployed automation across business operations","Official Ashby application submitted on 2026-06-13; follow up around 2026-06-20 if no reply",Target,"Official Ashby submission confirmed on 2026-06-13; remote role for internal AI automations across GTM/Operations/Finance using agents, orchestration, and evaluation frameworks"
Perplexity,"Member of Technical Staff (AI Software Engineer, Agents)",Top lab,https://jobs.ashbyhq.com/perplexity/4ab39122-1d15-4874-8ab7-c6a241472743,"Fresh frontier-role fit for agent behavior, workflow tooling, full-stack AI systems, and evaluation-minded product engineering","Apply once future sponsorship, 4-days-per-week San Francisco office posture, and the required exercise URL are confirmed; phone/location are already known",Target,"Official Ashby form inspected on 2026-06-13; newly published on 2026-06-12 with $220K-$405K plus equity and a required exercise-submission shared URL"
Harvey,Integration Engineer,Sweet spot,https://jobs.ashbyhq.com/harvey/9cb5be7c-24ea-406d-975b-83342a6dee39/application,"Strong fit for Python/JavaScript API integrations, automation, data pipelines, reverse ETL, and cross-functional AI-company systems work","Apply once current legal address, current U.S. work authorization, and future sponsorship facts are confirmed; tailor around Python/SQL pipelines, automation, and reliable cross-system workflows",Target,"Official Ashby form inspected on 2026-06-14; remote role with $133.5K-$200.3K base plus equity/bonus, and the hard blockers surfaced were work-eligibility plus current legal address"
Braintrust,Open Source Engineer - Python,Sweet spot,https://jobs.ashbyhq.com/braintrust/ba4d6676-f65c-42c9-84ee-285f2da15e0d/application,"High-signal evals/observability SDK role with direct overlap on Python, developer tooling, open source, and practical AI reliability work","Apply once future sponsorship is confirmed; include the strongest open-source project links and remember Braintrust allows only one application every 90 days",Target,"Official Ashby form re-inspected on 2026-06-14; remote / NYC / Seattle role, 90-day company-wide application limit, and no separate U.S. work-authorization question surfaced"
Arize,"Forward Deployed AI Engineer, East",Sweet spot,https://job-boards.greenhouse.io/arizeai/jobs/5993755004,"Strong fit for AI observability/evals, Python or TypeScript customer implementations, and forward-deployed technical ownership with enterprise AI teams","Apply once current U.S. work authorization and future sponsorship facts are confirmed; the NYC-metro-or-EST question is truthfully answerable from Eastern Time",Target,"Official Greenhouse form inspected on 2026-06-14; remote New York role with 2-5 years scope and $125K-$175K range, blocked only by work-eligibility answers"
